Source,Target,Value
"""Mahmood, Khalid""","""Foreign and Commonwealth Office""",1
"""Mahmood, Khalid""","""Home Office""",8
"""Mahmood, Shabana""","""Cabinet Office""",1
"""Mahmood, Shabana""","""Communities and Local Government""",1
"""Mahmood, Shabana""","""Department for Business, Innovation and Skills""",11
"""Mahmood, Shabana""","""Department for Culture, Media and Sport""",1
"""Mahmood, Shabana""","""Department for Education""",2
"""Mahmood, Shabana""","""Department for Transport""",2
"""Mahmood, Shabana""","""Department for Work and Pensions""",2
"""Mahmood, Shabana""","""Department of Energy and Climate Change""",1
"""Mahmood, Shabana""","""Department of Health""",3
"""Mahmood, Shabana""","""Foreign and Commonwealth Office""",7
"""Mahmood, Shabana""","""Home Office""",1
"""Mahmood, Shabana""","""Ministry of Defence""",1
"""Mahmood, Shabana""","""Ministry of Justice""",5
"""Mahmood, Shabana""","""Treasury""",4
"""Main, Anne""","""Attorney General""",1
"""Main, Anne""","""Cabinet Office; UK Statistics Authority""",3
"""Main, Anne""","""Communities and Local Government""",2
"""Main, Anne""","""Department for Business, Innovation and Skills""",2
"""Main, Anne""","""Department for Culture, Media and Sport""",1
"""Main, Anne""","""Department for Education""",11
"""Main, Anne""","""Department for Environment, Food and Rural Affairs""",10
"""Main, Anne""","""Department for International Development""",6
"""Main, Anne""","""Department for Transport""",3
"""Main, Anne""","""Department for Work and Pensions""",3
"""Main, Anne""","""Department of Health""",13
"""Main, Anne""","""Foreign and Commonwealth Office""",4
"""Main, Anne""","""Home Office""",11
"""Main, Anne""","""Ministry of Justice""",2
"""Main, Anne""","""Treasury""",7
"""Mak, Alan""","""Attorney General""",1
"""Mak, Alan""","""Ministry of Justice""",1
"""Mak, Alan""","""Treasury""",1
"""Malhotra, Seema""","""Communities and Local Government""",9
"""Malhotra, Seema""","""Department for Business, Innovation and Skills""",10
"""Malhotra, Seema""","""Department for Culture, Media and Sport""",4
"""Malhotra, Seema""","""Department for Education""",6
"""Malhotra, Seema""","""Department for Environment, Food and Rural Affairs""",1
"""Malhotra, Seema""","""Department for International Development""",2
"""Malhotra, Seema""","""Department for Transport""",3
"""Malhotra, Seema""","""Department for Work and Pensions""",3
"""Malhotra, Seema""","""Department of Health""",1
"""Malhotra, Seema""","""Home Office""",2
"""Malhotra, Seema""","""Treasury""",64
"""Malthouse, Kit""","""Department for Business, Innovation and Skills""",3
"""Malthouse, Kit""","""Department of Health""",2
"""Malthouse, Kit""","""Home Office""",4
"""Malthouse, Kit""","""Ministry of Justice""",1
"""Malthouse, Kit""","""Treasury""",2
"""Mann, John""","""Cabinet Office; UK Statistics Authority""",1
"""Mann, John""","""Communities and Local Government""",4
"""Mann, John""","""Department for Culture, Media and Sport""",3
"""Mann, John""","""Department for Education""",6
"""Mann, John""","""Department for Environment, Food and Rural Affairs""",1
"""Mann, John""","""Department for International Development""",6
"""Mann, John""","""Department for Transport""",5
"""Mann, John""","""Department of Energy and Climate Change""",1
"""Mann, John""","""Department of Health""",10
"""Mann, John""","""Foreign and Commonwealth Office""",4
"""Mann, John""","""Home Office""",10
"""Mann, John""","""House of Commons Commission""",2
"""Mann, John""","""Leader of the House of Commons""",1
"""Mann, John""","""Ministry of Defence""",3
"""Mann, John""","""Ministry of Justice""",4
"""Mann, John""","""Prime Minister""",1
"""Mann, John""","""Scotland Office""",1
"""Mann, John""","""Speaker's Committee on the Electoral Commission""",3
"""Mann, John""","""Treasury""",4
"""Mann, Scott""","""Department for Environment, Food and Rural Affairs""",1
"""Mann, Scott""","""Department for International Development""",1
"""Mann, Scott""","""Department for Transport""",1
"""Marris, Rob""","""Communities and Local Government""",1
"""Marris, Rob""","""Department for Business, Innovation and Skills""",3
"""Marris, Rob""","""Department for Culture, Media and Sport""",1
"""Marris, Rob""","""Department for Work and Pensions""",1
"""Marris, Rob""","""Department of Energy and Climate Change""",1
"""Marris, Rob""","""Department of Health""",1
"""Marris, Rob""","""Home Office""",3
"""Marris, Rob""","""Treasury""",11
"""Marsden, Gordon""","""Department for Business, Innovation and Skills""",82
"""Marsden, Gordon""","""Department for Culture, Media and Sport""",4
"""Marsden, Gordon""","""Department for Education""",10
"""Marsden, Gordon""","""Department for Transport""",19
"""Marsden, Gordon""","""Department of Energy and Climate Change""",2
"""Marsden, Gordon""","""Department of Health""",2
"""Marsden, Gordon""","""Ministry of Justice""",11
"""Marsden, Gordon""","""Treasury""",4
"""Maskell, Rachael""","""Cabinet Office""",1
"""Maskell, Rachael""","""Communities and Local Government""",4
"""Maskell, Rachael""","""Department for Business, Innovation and Skills""",5
"""Maskell, Rachael""","""Department for Culture, Media and Sport""",2
"""Maskell, Rachael""","""Department for Education""",13
"""Maskell, Rachael""","""Department for Environment, Food and Rural Affairs""",2
"""Maskell, Rachael""","""Department for Work and Pensions""",5
"""Maskell, Rachael""","""Department of Energy and Climate Change""",3
"""Maskell, Rachael""","""Department of Health""",5
"""Maskell, Rachael""","""Foreign and Commonwealth Office""",2
"""Maskell, Rachael""","""Home Office""",2
"""Maskell, Rachael""","""Ministry of Defence""",1
"""Maskell, Rachael""","""Prime Minister""",1
"""Maskell, Rachael""","""Treasury""",2
"""Matheson, Christian""","""Communities and Local Government""",2
"""Matheson, Christian""","""Department for Business, Innovation and Skills""",8
"""Matheson, Christian""","""Department for Culture, Media and Sport""",1
"""Matheson, Christian""","""Department for Transport""",6
"""Matheson, Christian""","""Department for Work and Pensions""",1
"""Matheson, Christian""","""Department of Energy and Climate Change""",4
"""Matheson, Christian""","""Department of Health""",3
"""Matheson, Christian""","""Foreign and Commonwealth Office""",2
"""Matheson, Christian""","""Home Office""",4
"""Matheson, Christian""","""Minister for Women and Equalities""",1
"""Matheson, Christian""","""Ministry of Justice""",2
"""Matheson, Christian""","""Treasury""",4
"""Mathias, Tania""","""Cabinet Office""",2
"""Mathias, Tania""","""Communities and Local Government""",1
"""Mathias, Tania""","""Department for Business, Innovation and Skills""",3
"""Mathias, Tania""","""Department for Education""",1
"""Mathias, Tania""","""Department for Environment, Food and Rural Affairs""",1
"""Mathias, Tania""","""Department for International Development""",1
"""Mathias, Tania""","""Department for Transport""",14
"""Mathias, Tania""","""Department for Work and Pensions""",6
"""Mathias, Tania""","""Department of Energy and Climate Change""",2
"""Mathias, Tania""","""Department of Health""",9
"""Mathias, Tania""","""Foreign and Commonwealth Office""",2
"""Mathias, Tania""","""Home Office""",5
"""Mathias, Tania""","""Minister for Women and Equalities""",1
"""Mathias, Tania""","""Ministry of Defence""",3
"""Mathias, Tania""","""Ministry of Justice""",1
"""Mathias, Tania""","""Treasury""",6
"""Maynard, Paul""","""Department for Education""",6
"""Maynard, Paul""","""Department for International Development""",2
"""Maynard, Paul""","""Department for Transport""",2
"""Maynard, Paul""","""Department for Work and Pensions""",1
"""Maynard, Paul""","""Ministry of Justice""",3
"""Mc Nally, John""","""Communities and Local Government""",1
"""Mc Nally, John""","""Department for Business, Innovation and Skills""",5
"""Mc Nally, John""","""Department for Culture, Media and Sport""",1
"""Mc Nally, John""","""Department for Transport""",2
"""Mc Nally, John""","""Department for Work and Pensions""",1
"""Mc Nally, John""","""Department of Energy and Climate Change""",2
"""Mc Nally, John""","""Department of Health""",2
